Tara,AccesElectricitate%,Populatie,NrNasteri,"Natalitate_(pop/nr,nasteri)",HumanDevelopmentIndex(HDI) ,LifeExpectancyAtBirth,ExpectedYearsOfSchooling
South Sudan, 7.7 ," 40,000,412 "," 1,453,685 ",3.63,0.478,62,10.3
Burundi, 10.2 ," 2,811,666 "," 29,955 ",1.07,0.796,76,14.4
Chad, 11.3 ," 44,761,099 "," 957,511 ",2.14,0.745,76,14.6
Malawi, 14.2 ," 78,364 ", 535 ,0.68,0.858,80,13.3
Central African Republic, 15.7 ," 92,349 "," 1,121 ",1.21,0.788,78,14.2
Niger, 18.6 ," 45,312,281 "," 529,339 ",1.17,0.842,75,17.9
Burkina Faso, 19.0 ," 2,962,300 "," 35,635 ",1.20,0.759,72,13.1
Papua New Guinea, 20.9 ," 25,685,412 "," 304,162 ",1.18,0.951,84,21.1
Sierra Leone, 27.5 ," 8,955,797 "," 85,345 ",0.95,0.916,81,16
Liberia, 29.8 ," 10,137,750 "," 135,569 ",1.34,0.745,69,13.5
Mozambique, 31.5 ," 396,373 "," 4,369 ",1.10,0.812,71,12.9
Madagascar, 35.1 ," 1,504,365 "," 19,586 ",1.30,0.875,78,16.3
Guinea-Bissau, 35.8 ," 167,658,854 "," 3,422,642 ",2.04,0.661,72,12.4
Benin, 42.0 ," 282,147 "," 3,184 ",1.13,0.79,77,15.7
Tanzania, 42.7 ," 9,302,585 "," 79,787 ",0.86,0.808,72,15.2
Uganda, 45.2 ," 11,586,195 "," 117,668 ",1.02,0.937,81,19.6
Zambia, 46.7 ," 395,346 "," 6,539 ",1.65,0.683,70,13
Guinea, 46.8 ," 13,413,417 ",,3.48,0.525,59,10.8
Mauritania, 47.7 ," 775,442 "," 9,997 ",1.29,0.666,71,13.2
Rwanda, 48.7 ," 11,937,360 "," 260,326 ",2.18,0.692,63,14.9
Zimbabwe, 49.0 ," 2,401,441 "," 61,049 ",2.54,0.693,61,12.3
Lesotho, 50.4 ," 209,550,294 "," 2,672,684 ",1.28,0.754,72,15.6
Eritrea, 52.5 ," 451,721 "," 6,351 ",1.41,0.829,74,14
"Korea, Dem, People's Rep,", 52.6 ," 6,877,743 "," 59,000 ",0.86,0.795,71,13.9
Mali, 53.4 ," 21,995,243 "," 713,006 ",3.24,0.449,59,9.1
Ethiopia, 54.2 ," 12,965,481 "," 454,572 ",3.51,0.426,61,10.7
Namibia, 55.2 ," 516,649 "," 6,494 ",1.26,0.662,74,12.6
Togo, 55.7 ," 16,974,305 "," 371,827 ",2.19,0.593,69,11.5
Nigeria, 59.5 ," 26,915,758 "," 936,082 ",3.48,0.576,60,13.1
Sudan, 61.8 ," 38,239,864 "," 369,789 ",0.97,0.936,82,16.4
Gambia, 63.7 ," 5,112,100 "," 231,200 ",4.52,0.404,53,8
Cameroon, 65.4 ," 17,828,273 "," 771,674 ",4.33,0.394,52,8
Senegal, 68.0 ," 19,456,334 "," 176,463 ",0.91,0.855,78,16.7
Vanuatu, 70.0 ," 1,412,360,000 "," 10,461,124 ",0.74,0.768,78,14.2
Libya, 70.2 ," 51,188,173 "," 713,944 ",1.39,0.752,72,14.4
Congo, 70.5 ," 818,174 "," 24,134 ",2.95,0.558,63,11.9
Myanmar, 72.5 ," 105,041,115 "," 4,342,912 ",4.13,0.571,63,12.3
Botswana, 73.7 ," 5,059,988 "," 53,349 ",1.05,0.809,77,16.5
Yemen, 74.9 ," 3,878,981 "," 35,785 ",0.92,0.858,77,15.1
Solomon Islands, 76.3 ," 11,122,168 "," 98,036 ",0.88,0.764,73,14.4
Kenya, 76.5 ," 1,317,309 "," 14,802 ",1.12,0.896,81,15.6
Sao Tome and Principe, 78.5 ," 10,505,772 "," 111,795 ",1.06,0.889,77,16.2
Cambodia, 82.5 ," 5,856,733 "," 63,475 ",1.08,0.948,81,18.7
Eswatini, 82.9 ," 67,202 ", 756 ,1.12,,72,13.3
Ghana, 86.3 ," 11,123,476 "," 206,574 ",1.86,0.767,72,14.5
Nicaragua,," 17,682,454 "," 280,840 ",1.59,0.74,73,
Comoros, 87.9 ," 110,957,008 "," 2,347,231 ",2.12,0.731,70,13.8
Syrian Arab Republic, 88.8 ," 6,255,782 "," 101,029 ",1.61,0.675,70,12.7
South Africa, 89.3 ," 3,350,183 "," 96,545 ",2.88,0.492,66,8.1
Nepal, 89.9 ," 1,330,932 "," 13,118 ",0.99,0.89,77,15.9
Gabon, 91.8 ," 1,206,593 "," 30,113 ",2.50,0.597,57,13.7
Fiji, 92.1 ," 122,138,588 "," 4,015,397 ",3.29,0.498,65,9.7
Kiribati, 92.8 ," 916,711 "," 17,005 ",1.86,0.73,67,14.7
Guyana, 92.9 ," 5,541,017 "," 49,488 ",0.89,0.94,82,19.1
Grenada, 93.7 ," 67,842,811 "," 702,274 ",1.04,0.903,82,15.8
Honduras, 94.1 ," 2,376,722 "," 68,779 ",2.89,0.706,65,13
Pakistan,," 2,576,010 "," 80,297 ",3.12,0.5,62,9.4
Panama, 95.3 ," 3,708,610 "," 48,797 ",1.32,0.802,71,15.6
Cabo Verde, 95.5 ," 83,196,078 "," 795,669 ",0.96,0.942,80,17
Peru, 95.6 ," 32,518,665 "," 879,105 ",2.70,0.632,63,12
Philippines, 97.5 ," 10,569,207 "," 86,163 ",0.82,0.887,80,20
Afghanistan, 97.7 ," 116,688 "," 1,417 ",1.21,0.795,74,18.7
Belize, 97.7 ," 17,598,650 "," 376,735 ",2.14,0.627,69,10.6
El Salvador, 97.9 ," 13,710,513 "," 479,631 ",3.50,0.465,58,9.8
Guatemala, 97.9 ," 2,058,841 "," 63,759 ",3.10,0.483,59,10.6
Dominican Republic, 98.1 ," 815,482 "," 17,093 ",2.10,0.714,65,12.5
Samoa, 98.3 ," 10,289,877 "," 231,824 ",2.25,0.621,70,10.1
Bolivia, 98.6 ," 7,413,100 "," 47,908 ",0.65,0.952,85,17.3
Suriname, 98.8 ," 9,709,891 "," 93,719 ",0.97,0.846,74,15
Bangladesh, 99.0 ," 372,520 "," 4,819 ",1.29,0.959,82,19.2
Indonesia, 99.2 ," 1,414,203,896 "," 23,321,854 ",1.65,0.633,67,11.9
Brazil, 99.5 ," 276,758,053 "," 4,543,453 ",1.64,0.705,67,13.7
India, 99.6 ," 88,455,488 "," 1,210,703 ",1.37,0.774,73,14.6
Mauritius, 99.6 ," 43,071,211 "," 1,139,167 ",2.64,0.686,70,12.1
Tajikistan, 99.6 ," 5,033,164 "," 60,066 ",1.19,0.945,82,18.9
Kyrgyz Republic, 99.7 ," 9,371,400 "," 177,692 ",1.90,0.919,82,16.1
Algeria, 99.8 ," 59,133,173 "," 407,050 ",0.69,0.895,82,16.2
Bulgaria, 99.8 ," 2,837,682 "," 33,921 ",1.20,0.709,70,13.4
Marshall Islands, 99.8 ," 125,681,593 "," 810,611 ",0.64,0.925,84,15.2
Montenegro, 99.8 ," 11,066,356 "," 235,810 ",2.13,0.72,74,10.6
Jordan, 99.9 ," 19,743,603 "," 459,460 ",2.33,0.811,69,15.8
Tunisia, 99.9 ," 53,219,166 "," 1,469,426 ",2.76,0.575,61,10.7
Uzbekistan, 99.9 ," 128,377 "," 3,455 ",2.69,0.624,67,11.8
Albania, 100 ," 26,232,534 "," 348,026 ",1.33,0.782,73,10.8
Andorra, 100 ," 51,769,539 "," 259,300 ",0.50,0.925,83,16.5
Antigua and Barbuda, 100 ," 4,360,865 "," 44,000 ",1.01,0.831,78,15.3
Argentina, 100 ," 6,851,224 "," 153,197 ",2.24,0.692,70,13.2
Armenia, 100 ," 1,884,490 "," 17,471 ",0.93,0.863,73,16.2
Australia, 100 ," 5,718,122 "," 94,769 ",1.66,0.706,75,11.3
Austria, 100 ," 2,261,542 "," 56,302 ",2.49,0.514,53,12
Azerbaijan, 100 ," 5,259,323 "," 165,796 ",3.15,0.481,60,10.4
Bahamas, 100 ," 7,135,175 "," 129,689 ",1.82,0.718,71,12.9
Bahrain, 100 ," 39,182 ", 367 ,0.94,0.935,83,15.2
Barbados, 100 ," 2,800,839 "," 22,978 ",0.82,0.875,73,16.3
Belarus, 100 ," 640,064 "," 6,581 ",1.03,0.93,82,14.4
Belgium, 100 ," 29,691,083 "," 977,163 ",3.29,0.501,64,10.1
Bhutan, 100 ," 20,047,258 "," 642,826 ",3.21,0.512,62,12.7
Brunei Darussalam, 100 ," 34,282,399 "," 424,571 ",1.24,0.803,74,13.3
Canada, 100 ," 516,154 "," 6,036 ",1.17,0.747,79,12.6
Chile, 100 ," 22,388,630 "," 911,381 ",4.07,0.428,58,7.4
China, 100 ," 518,536 "," 4,345 ",0.84,0.918,83,16.8
Colombia, 100 ," 41,367 ", 959 ,2.32,0.639,65,10.2
Costa Rica, 100 ," 4,734,874 "," 167,340 ",3.53,0.556,64,9.4
Croatia, 100 ," 1,266,334 "," 12,954 ",1.02,0.802,73,15.2
Cuba, 100 ," 127,648,148 "," 2,087,487 ",1.64,0.758,70,14.9
Cyprus, 100 ," 2,595,809 "," 34,837 ",1.34,0.767,68,14.4
Czechia, 100 ," 3,383,741 "," 70,193 ",2.07,0.739,71,15
Denmark, 100 ," 619,211 "," 7,033 ",1.14,0.832,76,15.1
Dominica, 100 ," 36,954,442 "," 645,134 ",1.75,0.683,74,14.2
Ecuador, 100 ," 31,707,800 "," 1,217,662 ",3.84,0.446,59,10.2
Egypt, 100 ," 53,387,102 "," 918,313 ",1.72,0.585,65,10.9
Estonia, 100 ," 2,810,548 "," 75,946 ",2.70,0.615,59,11.9
Finland, 100 ," 11,709 ", 325 ,2.78,0.941,63,11.7
France, 100 ," 29,475,010 "," 579,915 ",1.97,0.602,68,12.9
Georgia, 100 ," 17,533,044 "," 182,048 ",1.04,0.941,81,18.7
Germany, 100 ," 5,111,300 "," 58,853 ",1.15,0.937,82,20.3
Greece, 100 ," 6,644,741 "," 133,188 ",2.00,0.667,73,12.6
Hong Kong, 100 ," 24,502,140 "," 1,027,422 ",4.19,0.4,61,7
Hungary, 100 ," 218,529,286 "," 7,330,875 ",3.35,0.535,52,10.1
Iceland, 100 ," 5,408,320 "," 56,033 ",1.04,0.961,83,18.2
Iran, 100 ," 4,500,424 "," 82,526 ",1.83,0.816,72,14.6
Iraq, 100 ," 239,477,801 "," 6,797,293 ",2.84,0.544,66,8.7
Ireland, 100 ," 17,783 ", 202 ,1.14,0.767,66,15.8
Israel, 100 ," 4,345,405 "," 71,269 ",1.64,0.805,76,13.1
Italy, 100 ," 10,012,896 "," 256,149 ",2.56,0.558,65,10.4
Jamaica, 100 ," 6,684,182 "," 138,291 ",2.07,0.717,70,13
Japan, 100 ," 33,155,882 "," 543,689 ",1.64,0.762,72,15.4
Kazakhstan, 100 ," 113,100,950 "," 1,821,790 ",1.61,0.699,69,13.1
"Korea, Rep,", 100 ," 36,981,559 "," 334,752 ",0.91,0.876,76,16
Kuwait, 100 ," 10,361,831 "," 77,859 ",0.75,0.866,81,16.9
Latvia, 100 ," 2,504,910 "," 26,896 ",1.07,0.855,79,12.6
Lebanon, 100 ," 19,122,059 "," 187,162 ",0.98,0.821,74,14.2
Liechtenstein, 100 ," 144,746,762 "," 1,421,809 ",0.98,0.822,69,15.8
Lithuania, 100 ," 13,355,260 "," 392,497 ",2.94,0.534,66,11.2
Luxembourg, 100 ," 213,779 "," 5,749 ",2.69,0.707,72,12.4
Malaysia, 100 ," 34,252 ", 212 ,0.62,0.853,80,12.3
Maldives, 100 ," 221,961 "," 6,330 ",2.85,0.618,67,13.4
Malta, 100 ," 30,784,383 "," 498,172 ",1.62,0.875,76,16.1
Mexico, 100 ," 17,220,867 "," 511,625 ",2.97,0.511,67,9
Moldova, 100 ," 6,834,326 "," 62,470 ",0.91,0.802,74,14.4
Mongolia, 100 ," 99,258 "," 1,764 ",1.78,0.785,71,13.9
Morocco, 100 ," 8,094,602 "," 256,143 ",3.16,0.477,60,9.6
Nauru, 100 ," 5,453,566 "," 45,626 ",0.84,0.939,82,16.5
Netherlands, 100 ," 5,447,247 "," 56,781 ",1.04,0.848,74,14.5
New Zealand, 100 ," 2,108,079 "," 19,399 ",0.92,0.918,80,17.7
Norway, 100 ," 762,591 "," 21,123 ",2.77,0.564,70,10.3
Oman, 100 ," 61,502,603 "," 1,190,312 ",1.94,0.713,62,13.6
Palau, 100 ," 10,865,780 "," 322,632 ",2.97,0.385,55,5.5
Paraguay, 100 ," 47,415,794 "," 340,310 ",0.72,0.905,83,17.9
Poland, 100 ," 22,156,000 "," 328,525 ",1.48,0.782,76,14.1
Portugal, 100 ," 46,763 ", 574 ,1.23,0.777,71,15.4
Qatar, 100 ," 178,522 "," 2,066 ",1.16,0.715,71,12.9
Romania, 100 ," 102,841 "," 1,300 ",1.26,0.751,69,14.7
Russia, 100 ," 48,066,924 "," 1,630,110 ",3.39,0.508,65,7.9
San Marino, 100 ," 617,896 "," 10,861 ",1.76,0.73,70,13
Saudi Arabia, 100 ," 10,415,811 "," 113,236 ",1.09,0.947,83,19.4
Serbia, 100 ," 8,704,546 "," 89,352 ",1.03,0.962,84,16.5
Seychelles, 100 ," 21,628,839 "," 457,916 ",2.12,0.577,72,9.2
Singapore, 100 ," 9,966,908 "," 276,523 ",2.77,0.685,71,11.7
Slovakia, 100 ,," 2,262,827 ",3.60,0.549,66,9.2
Slovenia, 100 ," 71,727,332 "," 612,870 ",0.85,0.8,78,15.9
Spain, 100 ," 8,878,379 "," 284,243 ",3.20,0.539,61,13
Sri Lanka, 100 ," 105,490 "," 2,480 ",2.35,0.745,71,16
"St, Kitts and Nevis", 100 ," 1,367,558 "," 16,797 ",1.23,0.81,,14.5
"St, Lucia", 100 ," 12,048,622 "," 168,668 ",1.40,0.731,73,15.4
"St, Vincent and the Grenadines", 100 ," 84,147,318 "," 1,142,982 ",1.36,0.838,76,18.3
Sweden, 100 ," 7,092,043 "," 165,586 ",2.33,0.745,69,13.2
Switzerland, 100 ," 45,910,930 "," 1,668,475 ",3.63,0.525,62,10.1
Thailand, 100 ," 44,298,640 "," 309,089 ",0.70,0.773,71,15
Tonga, 100 ," 9,575,152 "," 90,831 ",0.95,0.911,78,15.7
Trinidad and Tobago, 100 ," 67,026,292 "," 693,027 ",1.03,0.929,80,17.3
Turkiye, 100 ," 332,048,977 "," 3,681,202 ",1.11,0.921,77,16.3
Turkmenistan, 100 ," 3,396,695 "," 34,209 ",1.01,0.809,75,16.8
Ukraine, 100 ," 34,243,696 "," 905,756 ",2.65,0.727,70,12.5
United Arab Emirates, 100 ," 305,868 "," 8,972 ",2.93,0.607,70,11.5
United Kingdom, 100 ," 28,237,826 "," 429,761 ",1.52,0.691,70,12.8
United States, 100 ," 98,935,098 "," 1,457,843 ",1.47,0.703,73,13
Uruguay, 100 ," 37,140,230 "," 1,324,728 ",3.57,0.455,63,9.1
Venezuela, 100 ," 19,603,607 "," 665,154 ",3.39,0.565,61,10.9
Vietnam, 100 ," 15,797,210 "," 488,642 ",3.09,0.593,59,12.1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
